DOI,solvent_name,solvent,zn_source,zn_source_mmol,hmim_mmol,stirring,temperature_C,time_min,size_nm,additive,ratio,counterion,zn_source_mM,hmim_mM,Verify
10.1021/acsami.9b23314,Methanol,499.3757802746567,Zn(NO3)2·6H2O,0.5378693649779809,4.993909866017053,Yes,50,180.0,48.0,not given,0.1077050606455908,NO3-,0.0010770834033684,0.0100003045066991,True
10.1039/c7nr07949d,Water,1111.111111111111,Zn(NO3)2·6H2O,0.0504252529666857,0.3045066991473812,No,0,30.0,250.0,not given,0.1655965307425958,NO3-,4.538272767001713e-05,0.0002740560292326,True
10.1039/c3ce27093a,Water,3333.333333333333,Zn(NO3)2·6H2O,6.084647191313409,12.18026796589525,Yes,21,10.0,300.0,Pluronic P123,0.4995495344068308,NO3-,0.001825394157394,0.0036540803897685,True
10.1039/c3ce27093a,Water,3333.333333333333,Zn(NO3)2·6H2O,6.084647191313409,12.18026796589525,Yes,21,10.0,300.0,Pluronic P123,0.4995495344068308,NO3-,0.001825394157394,0.0036540803897685,True
10.1039/c3ce27093a,Water,3333.333333333333,Zn(NO3)2·6H2O,6.084647191313409,12.18026796589525,Yes,21,60.0,300.0,Pluronic P123,0.4995495344068308,NO3-,0.001825394157394,0.0036540803897685,True
10.1039/d0tb02709j,Methanol,564.2946317103621,Zn(NO3)2,1.0,8.0,Yes,25,60.0,87.3,not given,0.125,NO3-,0.0017721238938053,0.0141769911504424,True
10.1039/d0tb02709j,Methanol,564.2946317103621,Zn(NO3)2,1.0,8.0,Yes,25,60.0,103.6,not given,0.125,NO3-,0.0017721238938053,0.0141769911504424,True
10.1039/d0tb02709j,Methanol,564.2946317103621,Zn(NO3)2,1.0,8.0,Yes,25,60.0,112.3,not given,0.125,NO3-,0.0017721238938053,0.0141769911504424,True
10.1039/d0tb02709j,Methanol,564.2946317103621,Zn(NO3)2,1.0,8.0,Yes,25,60.0,119.4,not given,0.125,NO3-,0.0017721238938053,0.0141769911504424,True
10.1039/d0tb02709j,Methanol,564.2946317103621,Zn(NO3)2,1.0,8.0,Yes,25,60.0,139.9,not given,0.125,NO3-,0.0017721238938053,0.0141769911504424,True
10.1021/acs.inorgchem.5c00612,Methanol,1128.589263420724,Zn(NO3)2·6H2O,2.0,16.0,Yes,25,1440.0,60.0,not given,0.125,NO3-,0.0017721238938053,0.0141769911504424,True
10.1021/acs.inorgchem.5c00612,Methanol,1128.589263420724,Zn(NO3)2·6H2O,2.0,16.0,Yes,25,1440.0,60.0,not given,0.125,NO3-,0.0017721238938053,0.0141769911504424,True
10.1021/acs.inorgchem.5c00612,Methanol,1128.589263420724,Zn(NO3)2·6H2O,2.0,16.0,Yes,25,1440.0,60.0,not given,0.125,NO3-,0.0017721238938053,0.0141769911504424,True
10.1021/acs.inorgchem.5c00612,Methanol,1128.589263420724,Zn(NO3)2·6H2O,2.0,16.0,Yes,25,1440.0,60.0,not given,0.125,NO3-,0.0017721238938053,0.0141769911504424,True
10.1039/c7nj04909a,Methanol,2496.878901373283,Zn(NO3)2·6H2O,2.4708373953676,19.82947624847746,Yes,25,60.0,50.0,not given,0.1246042691398525,NO3-,0.0009895703768447,0.0079417052375152,True
10.1039/d2ta06567c,Methanol,1123.595505617978,Zn(NO3)2·6H2O,4.000403402023734,16.00487210718636,Yes,120,240.0,200.0,not given,0.2499491014506457,NO3-,0.0035603590278011,0.0142443361753958,True
10.1039/d2ta06567c,Methanol,1123.595505617978,Zn(NO3)2·6H2O,4.000403402023734,16.00487210718636,Yes,120,240.0,200.0,not given,0.2499491014506457,NO3-,0.0035603590278011,0.0142443361753958,True
10.1039/d2ta06567c,Methanol,1123.595505617978,Zn(NO3)2·6H2O,4.000403402023734,16.00487210718636,Yes,120,240.0,200.0,not given,0.2499491014506457,NO3-,0.0035603590278011,0.0142443361753958,True
10.1021/acsomega.5c04494,ethanol,685.0444975037987,Zn(NO3)2·6H2O,3.159982519245638,40.19488428745432,No,30,60.0,145.8,not given,0.0786165347969899,NO3-,0.0046128135190635,0.0586748516832389,True
10.1021/acsomega.5c04494,ethanol,685.0444975037987,Zn(NO3)2·6H2O,3.159982519245638,40.19488428745432,No,30,60.0,171.9,not given,0.0786165347969899,NO3-,0.0046128135190635,0.0586748516832389,True
10.1021/acsomega.5c04494,ethanol,685.0444975037987,Zn(NO3)2·6H2O,3.159982519245638,40.19488428745432,No,30,60.0,181.8,not given,0.0786165347969899,NO3-,0.0046128135190635,0.0586748516832389,True
10.1016/j.jddst.2025.107616,Water,8333.333333333332,Zn(NO3)2·6H2O,5.042525296668571,40.19488428745432,Yes,25,60.0,81.84,not given,0.1254519172292393,NO3-,0.0006051030356002,0.0048233861144945,True
10.1016/j.jddst.2025.107616,Water,8333.333333333332,Zn(NO3)2·6H2O,5.042525296668571,40.19488428745432,Yes,25,60.0,62.75,not given,0.1254519172292393,NO3-,0.0006051030356002,0.0048233861144945,True
10.1021/acsami.6b05901,Methanol,9987.515605493134,Zn(NO3)2·6H2O,14.119070830672,114.0073081607795,Yes,25,60.0,60.0,not given,0.1238435593160439,NO3-,0.001413671966921,0.011414981729598,True
