DOI,solvent_name,solvent,zn_source,zn_source_mmol,hmim_mmol,stirring,temperature_C,time_min,size_nm,additive,ratio,counterion,zn_source_mM,hmim_mM,Verify
10.1021/acsami.9b23314,Methanol,499.3757802746567,Zn(NO3)2·6H2O,0.5378693649779809,4.993909866017053,Yes,50,180.0,48.0,not given,0.1077050606455908,NO3-,0.0010770834033684,0.0100003045066991,True
10.1039/d4nr01102c,Water,888.8888888888888,Zn(NO3)2·6H2O,0.1344673412444952,11.05968331303289,Yes,25,120.0,150.0,Cetyltrimethylammonium bromide,0.0121583355904989,NO3-,0.0001512757589,0.012442143727162,False
10.1016/j.ijbiomac.2024.135465,Water,5555.555555555555,Zn(NO3)2,7.412882787750792,39.58587088915957,Yes,25,40.0,354.8,not given,0.187260823653643,NO3-,0.0013343189017951,0.0071254567600487,False
10.1021/acsomega.3c07606,Methanol,1248.439450686642,Zn(NO3)2·6H2O,1.017917773220829,4.003654080389769,Yes,25,1440.0,150.0,not given,0.2542471833934592,NO3-,0.0008153521363498,0.0032069269183922,False
10.1039/c7nr07949d,Water,1111.111111111111,Zn(NO3)2·6H2O,0.0504252529666857,0.3045066991473812,No,0,0.3333333333333333,45.0,not given,0.1655965307425958,NO3-,4.538272767001713e-05,0.0002740560292326,False
10.1039/c7nr07949d,Water,1111.111111111111,Zn(NO3)2·6H2O,0.0504252529666857,0.3045066991473812,No,0,30.0,250.0,not given,0.1655965307425958,NO3-,4.538272767001713e-05,0.0002740560292326,True
10.1039/c3ce27093a,Water,3333.333333333333,Zn(NO3)2·6H2O,6.084647191313409,12.18026796589525,Yes,21,10.0,300.0,Pluronic P123,0.4995495344068308,NO3-,0.001825394157394,0.0036540803897685,True
10.1039/c3ce27093a,Water,3333.333333333333,Zn(NO3)2·6H2O,6.084647191313409,12.18026796589525,Yes,21,10.0,300.0,Pluronic P123,0.4995495344068308,NO3-,0.001825394157394,0.0036540803897685,True
10.1039/c3ce27093a,Water,3333.333333333333,Zn(NO3)2·6H2O,6.084647191313409,12.18026796589525,Yes,21,60.0,300.0,Pluronic P123,0.4995495344068308,NO3-,0.001825394157394,0.0036540803897685,True
10.1039/d0tb02709j,Methanol,564.2946317103621,Zn(NO3)2,1.0,8.0,Yes,25,60.0,87.3,not given,0.125,NO3-,0.0017721238938053,0.0141769911504424,True
10.1039/d0tb02709j,Methanol,564.2946317103621,Zn(NO3)2,1.0,8.0,Yes,25,60.0,103.6,not given,0.125,NO3-,0.0017721238938053,0.0141769911504424,True
10.1039/d0tb02709j,Methanol,564.2946317103621,Zn(NO3)2,1.0,8.0,Yes,25,60.0,112.3,not given,0.125,NO3-,0.0017721238938053,0.0141769911504424,True
10.1039/d0tb02709j,Methanol,564.2946317103621,Zn(NO3)2,1.0,8.0,Yes,25,60.0,119.4,not given,0.125,NO3-,0.0017721238938053,0.0141769911504424,True
10.1039/d0tb02709j,Methanol,564.2946317103621,Zn(NO3)2,1.0,8.0,Yes,25,60.0,139.9,not given,0.125,NO3-,0.0017721238938053,0.0141769911504424,True
10.1016/j.scib.2020.06.020,Methanol,3995.006242197253,Zn(NO3)2·6H2O,11.2952566645376,97.442143727162,Yes,25,1500.0,150.0,not given,0.115917571519817,NO3-,0.002827343933842,0.0243909866017052,False
10.1039/c6nr05187a,Methanol,624.2197253433209,Zn(NO3)2·6H2O,1.956499815107406,8.000000000000002,Yes,25,1440.0,200.0,not given,0.2445624768884256,NO3-,0.003134312703802,0.012816,False
10.1016/j.est.2024.111231,Methanol,1997.503121098627,Zn(NO3)2·6H2O,4.000268934682489,12000.0,Yes,100,1440.0,350.0,not given,0.0003333557445568,NO3-,0.0020026346354254,6.007500000000001,False
10.1021/acs.inorgchem.5c00612,Methanol,1128.589263420724,Zn(NO3)2·6H2O,2.0,16.0,Yes,25,1440.0,60.0,not given,0.125,NO3-,0.0017721238938053,0.0141769911504424,True
10.1021/acs.inorgchem.5c00612,Methanol,1128.589263420724,Zn(NO3)2·6H2O,2.0,16.0,Yes,25,1440.0,60.0,not given,0.125,NO3-,0.0017721238938053,0.0141769911504424,True
10.1021/acs.inorgchem.5c00612,Methanol,1128.589263420724,Zn(NO3)2·6H2O,2.0,16.0,Yes,25,1440.0,60.0,not given,0.125,NO3-,0.0017721238938053,0.0141769911504424,True
10.1021/acs.inorgchem.5c00612,Methanol,1128.589263420724,Zn(NO3)2·6H2O,2.0,16.0,Yes,25,1440.0,250.0,not given,0.125,NO3-,0.0017721238938053,0.0141769911504424,False
10.1021/acs.inorgchem.5c00612,Methanol,1128.589263420724,Zn(NO3)2·6H2O,2.0,16.0,Yes,25,1440.0,60.0,not given,0.125,NO3-,0.0017721238938053,0.0141769911504424,True
10.1016/j.est.2024.110774,Methanol,1997.503121098627,Zn(NO3)2·6H2O,2.724308333613473,6.406820950060902,Yes,25,1440.0,200.0,not given,0.4252199889537379,NO3-,0.0013638568595152,0.0032074147381242,False
10.1016/j.ceja.2023.100573,Water,2222.222222222222,Zn(NO3)2·6H2O,5.143375802601943,41.16930572472594,Yes,25,60.0,50.0,SDS,0.1249322939034377,NO3-,0.0023145191111708,0.0185261875761266,False
10.1016/j.micromeso.2023.112657,Methanol,499.3757802746567,Zn(NO3)2·6H2O,2.000201701011867,20.0,Yes,25,1440.0,158.0,not given,0.1000100850505933,NO3-,0.0040054039062762,0.04005,False
10.1021/acs.langmuir.9b03731,Methanol,3745.318352059925,Zn(NO3)2·6H2O,1.5,3.0,Yes,25,120.0,120.0,not given,0.5,NO3-,0.0004005,0.000801,False
10.1016/j.memsci.2020.118943,"N,N-dimethylformamide",5166.233410863319,Zn(NO3)2·6H2O,39.49978149057047,315.7125456760049,No,140,240.0,150.0,not given,0.1251131196132652,NO3-,0.0076457601407462,0.0611107785049237,False
10.1039/c7cy01979c,Methanol,4993.757802746567,Zn(NO3)2·6H2O,10.0,40.0,Yes,25,1440.0,300.0,not given,0.25,NO3-,0.0020025,0.00801,False
10.1016/j.micromeso.2023.112956,Methanol,2496.878901373283,Zn(NO3)2·6H2O,4.0,8.0,Yes,25,1440.0,188.0,not given,0.5,NO3-,0.001602,0.003204,False
10.1016/j.est.2023.109646,Methanol,998.7515605493134,Zn(NO3)2·6H2O,2.995260026221131,11.98538367844093,Yes,25,1440.0,400.0,not given,0.2499093985292224,NO3-,0.0029990041012539,0.0120003654080389,False
10.1039/d2nj03584g,Methanol,499.3757802746567,Zn(NO3)2·6H2O,3.93989309846371,31.57125456760049,Yes,25,180.0,300.0,not given,0.1247936818610611,NO3-,0.0078896359296735,0.0632214372716199,False
